roles,companies,locations,experience,skills,Dates,PresentDate,salary
Android Developer,Ventura Technologies,Mumbai,1-4 Yrs,Object oriented designCore JavaPrototypeGITTDDSQLiteAgilesoftware quality,30+ Days Ago,24-11-2024,Not disclosed
Counsellor (Psychologist),K J Somaiya Institute of Management,Mumbai,5-10 Yrs,CounsellorPDFPsychologyConsultancyRepresentativeResearchCounselling,30+ Days Ago,24-11-2024,Not disclosed
Sr Student Visa Experts,Numen Eduservices,"Mumbai, New Delhi",1-4 Yrs,Sr Student Visa Experts,30+ Days Ago,24-11-2024,Not disclosed
Customer Services,Bfc Forex And Financial Services,Mumbai,1-4 Yrs,ForexHead Business DevelopmentManager Internal AuditOperational excellencePDFWorkflowCustomer serviceMS Office,30+ Days Ago,24-11-2024,Not disclosed
YouTube Growth Manager,Passionmojo,Mumbai,2-6 Yrs,Digital mediaMarketing campaignsRelationshipUPSSEMGrowth strategyManagementSEO,30+ Days Ago,24-11-2024,Not disclosed
Business Development Manager,Numen Eduservices,"Mumbai, New Delhi",2-6 Yrs,Business Development ManagerManagementBusiness development managementDevelopmentBusiness development,30+ Days Ago,24-11-2024,Not disclosed
Officer - Communications: Alumni Relations,K J Somaiya Institute of Management,Mumbai,5-10 Yrs,Media managementSocial mediaProject managementcontent designingManagementDigital marketingFund raisingMonitoring,30+ Days Ago,24-11-2024,Not disclosed
Digital Marketing Strategist - Advertising & Marketing Company,Passionmojo,Mumbai,1-4 Yrs,Social media marketingQuality LeadPPCData analysisEmail marketingMarketing campaignsSEODigital marketing,30+ Days Ago,24-11-2024,Not disclosed
Manager Alumni Relations,K J Somaiya Institute of Management,Mumbai,7-8 Yrs,Administration managementBusiness administrationStakeholder EngagementEvent managementMISManagementMS OfficeMonitoring,30+ Days Ago,24-11-2024,Not disclosed
Business Development Manager - Underwriting,Profituni.in,Mumbai,4-8 Yrs,Senior managementSales processNew business developmentNew businessSalesBusiness developmentDevelopmentSenior,30+ Days Ago,24-11-2024,Not disclosed
Secondary Section : Librarian,Bombay Scottish School,Mumbai,3-8 Yrs,pre primarycataloguinglibrary managementinformation managementlibrary sciencelibsysteachinglibrary automation,30+ Days Ago,24-11-2024,Not disclosed
PHP Developer,Brainwonders,Mumbai,3-8 Yrs,Software designLinuxJavascriptPHPData structuresHTMLSEOmicrosoft,30+ Days Ago,24-11-2024,Not disclosed
Full Stack QA Engineer,Ventura Technologies,Mumbai,3-6 Yrs,LinuxNetworkingXMLDebuggingAgileDNSVOIPData structures,30+ Days Ago,24-11-2024,Not disclosed
Content Creator,Invest4edu,Mumbai,2-5 Yrs,PublishingFund managementSocial mediaManager TechnologyJournalismContent writingCreative writingResearch,30+ Days Ago,24-11-2024,Not disclosed
Administrative Officer,K J Somaiya Institute of Management,Mumbai,8-10 Yrs,ProcurementMS Office suitePDFInvoice processingWorkflowStaff managementMS OfficeOperations,30+ Days Ago,24-11-2024,Not disclosed
Secondary teacher,Pawar Public School,Mumbai,1-5 Yrs,AdministrationExcelAdministration ClerkSecondaryTeaching,30+ Days Ago,24-11-2024,Not disclosed
Presales Consultant and Advisor,Invest4edu,Mumbai,1-4 Yrs,Relationship managementTechnical ExpertSenior ExecutiveBankingInfrastructureManager TechnologyPresalesTechnical Staff,30+ Days Ago,24-11-2024,Not disclosed
Senior Career Counsellor,Invest4edu,Mumbai,1-3 Yrs,Career developmentInterpersonal skillsCareer counsellingCareer CounsellorManagementSeniorCounsellingInterpersonal,30+ Days Ago,24-11-2024,Not disclosed
Jr . Accountant / TALLY,Icit,Mumbai,1-2 Yrs,StationTallyCounsellorLedger scrutinyExcelSalesStock managementReconciliation,30+ Days Ago,24-11-2024,Not disclosed
Derivative Analyst,Invest4edu,Mumbai,1-3 Yrs,TrainingDerivative AnalystMINDeltaEquityResearchCFADerivatives,30+ Days Ago,24-11-2024,Not disclosed
Senior UI Developer,Invest4edu,Mumbai,1-2 Yrs,CSSVersion controlGIThtml5JavascriptManager TechnologyPackagingUPS,30+ Days Ago,24-11-2024,Not disclosed
UI Developer,Invest4edu,Mumbai,1-2 Yrs,CSSVersion controlGIThtml5JavascriptManager TechnologyPackagingHTML,30+ Days Ago,24-11-2024,Not disclosed
Motion Graphics Designer,Passionmojo,Mumbai,1-2 Yrs,GraphicsGraphic designingIllustratoradobe creative suiteProductionVideo editingPhotoshopAdvertising,30+ Days Ago,24-11-2024,Not disclosed
"Senior Executive, Financial Aid & Scholarships",K J Somaiya Institute of Management,Mumbai,2-3 Yrs,Business administrationReport generationData analysisInterpersonal skillsExcelPDFSenior ExecutiveFinance,30+ Days Ago,24-11-2024,Not disclosed
Sr Relationship Manager - Loans,Invest4edu,Mumbai,1-5 Yrs,LoansDue diligenceNBFCRelationshipBankingManagementServicingDiligence,30+ Days Ago,24-11-2024,Not disclosed
Marketing & Business Development Manager,Madsmania Edutech,Remote,2-7 Yrs,Business Development ManagerDigital marketingbusiness developmentmanagementdigitalbusiness development managementmarketingdevelopment,30+ Days Ago,24-11-2024,Not disclosed
Graphic Designer,Invest4edu,Mumbai,2-3 Yrs,GraphicsGraphic designingWeb technologiesIllustratorCorporate identityCADPackagingDesktop publishing,30+ Days Ago,24-11-2024,Not disclosed
Senior Business Analyst,Elevate K 12,Mumbai,4-8 Yrs,Business processProduction supportProject managementAnalyticalTest executionTest planningGap analysisAgile methodology,30+ Days Ago,24-11-2024,Not disclosed
Web designer,Invest4edu,Mumbai,3-4 Yrs,Content managementjQueryFront endManagement systemsJavascriptProgrammingConceptualizationHTML,30+ Days Ago,24-11-2024,Not disclosed
Workshop Instructor (Multi - Skill),K J Somaiya Institute of Management,Mumbai,5-10 Yrs,Head Business DevelopmentNetworkingConsultingMechanicalResearch HeadWorkshop InstructorElectricalsResearch,30+ Days Ago,24-11-2024,Not disclosed
Senior Project Manager IT,Elevate K 12,Mumbai,9-13 Yrs,Analytical skillsConflict resolutionProject managementAgileSoftware development life cycleProject planningCustomer serviceManagement,30+ Days Ago,24-11-2024,Not disclosed
Senior Software Developer,Invest4edu,Mumbai,3-6 Yrs,jQueryFront endXMLMySQLPHPHTMLOracleApache,30+ Days Ago,24-11-2024,Not disclosed
Education Program Manager,Invest4edu,Mumbai,5-7 Yrs,Product managementSocial marketingCustomer managementCostingNetworkingProject leadershipIT managementBudgeting,30+ Days Ago,24-11-2024,Not disclosed
Transportation / School Bus Manager,The Cathedral John Connon School,Mumbai,1-3 Yrs,vendor managementlogistics managementadministrationwarehouse operationswarehouse managementlogistics operationslogisticswarehouse,30+ Days Ago,24-11-2024,Not disclosed
Day Care Teacher,kido,Mumbai Suburban,1-4 Yrs,TrainingBasicMINMedical insuranceCenter HeadMonitoringTeachingDay Care,30+ Days Ago,24-11-2024,Not disclosed
Receptionist,Livewires Media Institute,Mumbai,2-5 Yrs,Receptionist,30+ Days Ago,24-11-2024,Not disclosed
Primary teachers,Pawar Public School,Mumbai,1-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingAdvisoryTraining,30+ Days Ago,24-11-2024,Not disclosed
Librarian,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringCounselling,30+ Days Ago,24-11-2024,Not disclosed
Accountant,Livewires Media Institute,Mumbai,2-5 Yrs,Capital AdvisorsAdministrationCredit OfficersReport GenerationAnalystsData EntryRisk ManagementCredit,30+ Days Ago,24-11-2024,Not disclosed
SAP Trainer For Finance,Enterprise Building Training Solutions,Mumbai,1-5 Yrs,SAP FI moduleTrainingFISAP FinanceSAP FISAPFinance,30+ Days Ago,24-11-2024,Not disclosed
SAP Trainer For Sales and Distribution,Enterprise Building Training Solutions,Mumbai,1-5 Yrs,TrainingSalesSAP SDSD moduleDistributionSapsDistributor salesSAP,30+ Days Ago,24-11-2024,Not disclosed
Lady Executive,New Millennium Education Partners,Mumbai,1-4 Yrs,TrainingExecutiveNetworkingEvent managementSocial mediaData collectionConsultancyResearch,30+ Days Ago,24-11-2024,Not disclosed
Senior Career Counsellor,Invest4edu,Mumbai,1-3 Yrs,Career CounsellorHTMLWindowsCounsellingCareer counsellingMicrosoft WindowsSeniorCareer development,30+ Days Ago,24-11-2024,Not disclosed
SAP ABAP Trainer,Enterprise Building Training Solutions,Mumbai,1-5 Yrs,TrainingSAP ABAPProgrammingProgramSAPAbap,30+ Days Ago,24-11-2024,Not disclosed
Faculty / Lecturer,Livewires Media Institute,Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingTrainingEducation,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-BMS,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringCounselling,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Microbiology,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingAssistanceCounselling,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Zoology,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingEducationMentoring,30+ Days Ago,24-11-2024,Not disclosed
Project Management Associate,Wadhwani Ai,Mumbai,2-5 Yrs,User researchManagement AssociateProject managementArtificial IntelligenceManager Program ManagementHealthcareIssue resolutionManagement,30+ Days Ago,24-11-2024,Not disclosed
Telemarketing,Livewires Media Institute,Mumbai,2-5 Yrs,Telemarketing,30+ Days Ago,24-11-2024,Not disclosed
Telecaller,Livewires Media Institute,Mumbai,2-5 Yrs,TelecallerTelecalling,30+ Days Ago,24-11-2024,Not disclosed
Sports Director,Lords Universal College (LUC),Mumbai,6-8 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingSportsTraining,30+ Days Ago,24-11-2024,Not disclosed
Librarian,Lords Universal College (LUC),Mumbai,5-8 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingTrainingCounselling,30+ Days Ago,24-11-2024,Not disclosed
Lab Assistant,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringAssistance,30+ Days Ago,24-11-2024,Not disclosed
Principal,Lords Universal College (LUC),Mumbai,10-13 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringCounselling,30+ Days Ago,24-11-2024,Not disclosed
Electronics Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingEducationMentoring,30+ Days Ago,24-11-2024,Not disclosed
Information Technology Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringCounselling,30+ Days Ago,24-11-2024,Not disclosed
Environmental Science Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingScienceMentoring,30+ Days Ago,24-11-2024,Not disclosed
Biology Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingBiologyMentoring,30+ Days Ago,24-11-2024,Not disclosed
Computer Science Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingScienceMentoring,30+ Days Ago,24-11-2024,Not disclosed
Maths Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingAdvisoryMentoring,30+ Days Ago,24-11-2024,Not disclosed
Economics Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingAdvisoryEconomics,30+ Days Ago,24-11-2024,Not disclosed
Chemistry Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingChemistryCounselling,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Chemistry,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringAssistance,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Business Law,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingEducationMentoring,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Environmental Science,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingScienceMentoring,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-English,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingTrainingCounselling,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Accountancy,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringAssistance,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Mathematics & Statistics,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringCounselling,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Economics,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingTrainingCounselling,30+ Days Ago,24-11-2024,Not disclosed
Assistant Professor-Commerce,Lords Universal College (LUC),Mumbai,2-5 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingAssistanceCounselling,30+ Days Ago,24-11-2024,Not disclosed
Physical Education Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingAdvisoryPhysical education,30+ Days Ago,24-11-2024,Not disclosed
HR Executive,kido,Mumbai,1-4 Yrs,HR ExecutivePerformance managementData managementSocial mediaPackagingHRManagementinterview scheduling,30+ Days Ago,24-11-2024,Not disclosed
Content Writer and editior,Passionmojo,Mumbai,1-3 Yrs,Digital mediaBasicAprPublishingPDFSocial mediaContent EditorEditor,30+ Days Ago,24-11-2024,Not disclosed
Front Desk Executive,K J Somaiya Institute of Management,Mumbai,2-7 Yrs,Front Desk Executivegoogle appsManagementMS OfficeDeskFront deskFrontMicrosoft,30+ Days Ago,24-11-2024,Not disclosed
Principal,Lords Universal College (LUC),Mumbai,12-15 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingEducationMentoring,30+ Days Ago,24-11-2024,Not disclosed
SPORTS CO - ORDINATOR,J B Ludhani Group Of Schools,Mumbai,4-5 Yrs,Trainingsportsco,30+ Days Ago,24-11-2024,Not disclosed
Pre - Primary Teachers,GOLDCREST SCHOOL,Mumbai,1-3 Yrs,TeacherPreTeaching,30+ Days Ago,24-11-2024,Not disclosed
Hindi Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingHindiMentoring,30+ Days Ago,24-11-2024,Not disclosed
English Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingCounsellingTraining,30+ Days Ago,24-11-2024,Not disclosed
Admin Librarian,JBCN,Mumbai,1-5 Yrs,AdministrationInterpersonal skillsUsageManager TechnologyDatabaseManagementTechnologyTechnology management,30+ Days Ago,24-11-2024,Not disclosed
Manager / Assistant Manager,K J Somaiya Institute of Management,Mumbai,2-3 Yrs,HR processesAssistant Manager HRPDFDECComplianceRepresentativehr complianceProcess,30+ Days Ago,24-11-2024,Not disclosed
Secretarial Practice,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingTrainingCounselling,30+ Days Ago,24-11-2024,Not disclosed
Organization and Management of Commerce Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingAdvisoryMentoring,30+ Days Ago,24-11-2024,Not disclosed
HR AND ADMIN OFFICER,J B Ludhani Group Of Schools,Mumbai,4-5 Yrs,HR AdministratorHR policiesStaff managementhrsdadministrationmanagementhr administrationpolicies,30+ Days Ago,24-11-2024,Not disclosed
Physics Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingTrainingCounselling,30+ Days Ago,24-11-2024,Not disclosed
Accounts Teacher,Lords Universal College (LUC),Mumbai,4-6 Yrs,CounselorMentorTrainerAdvisorEducatorTeachingMentoringCounselling,30+ Days Ago,24-11-2024,Not disclosed
Mathematics Teacher,GOLDCREST SCHOOL,Mumbai,1-3 Yrs,MathematicsTeaching mathematicsTeaching,30+ Days Ago,24-11-2024,Not disclosed
Front Office Executive,J B Ludhani Group Of Schools,Mumbai,5-7 Yrs,SupervisorFront Office ExecutiveLMSExecutive managementManagementAcademic CoordinatorMonitoringfront,30+ Days Ago,24-11-2024,Not disclosed
Digital Marketing Executive,kido,Mumbai,2-7 Yrs,PPCDisplay advertisingEmail marketingSocial mediaProject managementMarketing campaignsGoogle AdWordsSEM,30+ Days Ago,24-11-2024,Not disclosed
TEACHING FACULTY,J B Ludhani Group Of Schools,Mumbai,3-5 Yrs,StatisticsTeaching FacultyTeaching,30+ Days Ago,24-11-2024,Not disclosed
Manager - Corporate Relations and Placement Professor,Rajasthani Sammelan Education Trust,Mumbai,2-5 Yrs,Associate ProfessorAssistant ProfessorAssistanceCorporate RelationCorporateCorporate relationsPlacementManagement,30+ Days Ago,24-11-2024,Not disclosed
Fund Raising Manager,Radhee Disaster And Education Foundation,Mumbai,1-2 Yrs,Fund raisingManagement,30+ Days Ago,24-11-2024,Not disclosed
Office Assistant,Radhee Disaster And Education Foundation,Mumbai,1-2 Yrs,Office AssistantOfficeOffice assistanceAssistance,30+ Days Ago,24-11-2024,Not disclosed
Assistant IB PYP Teacher,Ajmera Global School,Mumbai,3-7 Yrs,TeachingAssistancePypIB,30+ Days Ago,24-11-2024,Not disclosed
Digital Marketing Manager,Vedu Revolutions,Mumbai(Borivali West),1-3 Yrs,Online BrandingOnline AdvertisingOnline MarketingContent StrategyDigitalBrandingAdvertisingMarketing,12 Days Ago,24-11-2024,3.5-5.5 Lacs PA
Social Media Content Writer,Radhee Disaster And Education Foundation,Mumbai,1-5 Yrs,Social mediaMediaContent writingContentWriting,30+ Days Ago,24-11-2024,Not disclosed
Advisors For Secondary,NextSchool,Mumbai,2-5 Yrs,Help DeskCustomer Servicecustomer relationshipaccess controlsTelephony supportAsset ManagementVendor ManagementInformation,30+ Days Ago,24-11-2024,Not disclosed
Accountant,Icit,Mumbai,1-2 Yrs,TrainingparkingTallyCounsellorWeb technologiesCCounsellingAccounting,30+ Days Ago,24-11-2024,Not disclosed
Analyst/Associate,Blinc Investment Management,Mumbai,1-5 Yrs,spreadsheetsedtechpresentation skillsfinancial modellingfintechAnalysisModelingPresentation,30+ Days Ago,24-11-2024,Not disclosed
Type - Setter,K J Somaiya Institute of Management,Mumbai,1-5 Yrs,TypesettingPublishingManagementTyping,30+ Days Ago,24-11-2024,Not disclosed
Project Manager,Radhee Disaster And Education Foundation,Mumbai,5-10 Yrs,Project ManagerManagementProject managementProject,30+ Days Ago,24-11-2024,Not disclosed
Project Assistant,Radhee Disaster And Education Foundation,Mumbai,2-6 Yrs,Project Assistant,30+ Days Ago,24-11-2024,Not disclosed
Multi Tasking Staff ( MTS ),K J Somaiya Institute of Management,Mumbai,2-7 Yrs,PDFManagement RepresentativeRepresentativeStaff managementManagementMTSOffice StaffOffice,30+ Days Ago,24-11-2024,Not disclosed
Node Developer,Upadapt,Mumbai,2-7 Yrs,Socket programmingSIDEFront endGITHP data protectorPostgresqlMySQLProgramming,30+ Days Ago,24-11-2024,Not disclosed
Flutter Developer,Upadapt,Mumbai,2-7 Yrs,User interface designingTesting toolsAnalyticalJavascriptAndroid SDKMobile applicationsMobile testinganalytics,30+ Days Ago,24-11-2024,Not disclosed
Dotnet and Postgresql Developer,Upadapt,Mumbai,2-7 Yrs,Front endDatabase designPostgresqlJavascriptEntity frameworkHTMLStored proceduresSQL,30+ Days Ago,24-11-2024,Not disclosed
SALES MANAGER,Studykloud.com,Mumbai,3-7 Yrs,SalesCompetitive analysisCloudRelationshipAnalysisManagementSales management,30+ Days Ago,24-11-2024,Not disclosed
Software Developers / Senior Software Developers,Madsmania Edutech,Mumbai,2-7 Yrs,System testingSoftware DeveloperSoftware developmentConsultingProgrammingSystem designHardwareProgram,30+ Days Ago,24-11-2024,Not disclosed
Accountant,Icit,"Mumbai, Thane",8-13 Yrs,Counsellorquery handlingbudgetingcrmCounsellingAccountingHandlingQuery,30+ Days Ago,24-11-2024,Not disclosed
Sales Manager,Radhee Disaster And Education Foundation,Mumbai,4-8 Yrs,SalesManagementSales management,30+ Days Ago,24-11-2024,Not disclosed
Tech Risk and Regulatory Compliance,CA Monk,Mumbai,2-4 Yrs,Computer sciencePCI DSSManager Internal AuditISORisk assessmentInformation securityConsultingRegulatory compliance,30+ Days Ago,24-11-2024,Not disclosed
Business Development Executive,Think Monk Edutech,Mumbai,1-2 Yrs,tenderingproject managementtender preparationteam managementpresentation skillsbusiness developmentnetworkingproblem solving,30+ Days Ago,24-11-2024,Not disclosed
Campus Business Manager/ Senior Manager,Board Infinity,Mumbai,1-3 Yrs,Trainingoperational supportSalesBusiness planningBusiness modelingCustomer experienceRevenue generationAnalytics,30+ Days Ago,24-11-2024,Not disclosed
Content Copy Writer,Oracura Solutions,Mumbai,1-2 Yrs,LiteratureExcelWeb technologiesSocial mediaPackagingContent writingDigital marketingMS Office,30+ Days Ago,24-11-2024,Not disclosed
Software Engineer (Python & Ml),Bigiota,Mumbai,1-2 Yrs,BackendFront endGITPDFImage processingCloud ServicesJavascriptSDLC,30+ Days Ago,24-11-2024,Not disclosed
Rpa Developer,Bigiota,Mumbai,1-3 Yrs,BackendPDFrobot frameworkVB SCRIPTPowershellJavascriptSeleniumSDLC,30+ Days Ago,24-11-2024,Not disclosed
PHP Developer,Think Monk Edutech,Mumbai,1-3 Yrs,csslaravelcakephpsoftware testingwordpresswordpress cmscore phpphp development,30+ Days Ago,24-11-2024,Not disclosed
Software Engineer,Bigiota,Mumbai,1-4 Yrs,BackendFront endPDFselenium testingSQL databaseJavascriptSDLCPython,30+ Days Ago,24-11-2024,Not disclosed
Software Engineer (Python & Ml),Bigiota,Mumbai,1-3 Yrs,Object oriented designFront endGITPDFImage processingJavascriptData structuresSDLC,30+ Days Ago,24-11-2024,Not disclosed
