roles,companies,locations,experience,skills,Dates,PresentDate,salary
Senior Nutrition Sales Executive - Bangalore,Abbott,Bengaluru,5-12 Yrs,customer segmentationConsultative salesNutritionHealthcareAccount managementCustomer engagementNutrition Sales ExecutiveBrand building,1 Day Ago,24-11-2024,Not disclosed
Senior Territory Sales Executive,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-13 Yrs,Stock replenishmentNutritionComplianceinduction trainingManagement systemsBusiness strategyMerchandisingForecasting,3 Days Ago,24-11-2024,Not disclosed
"Urgent req of CTVS clinician at Fortis hospital, BG Road, Bangalore.",Fortis,Bengaluru(Bannerghatta Road),20 Nov - 29 Nov,CardiovascularVascularBgCtvsHospital,4 Days Ago,24-11-2024,Not disclosed
"Urgent req of Gastroenterologis at Fortis Hospital, Bg Road, Bangalore",Fortis,Bengaluru(Bannerghatta Road),0-3 Yrs,MedicineBgHospital,2 Days Ago,24-11-2024,12-16 Lacs PA
Senior Statistical Programmer FSP,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,Computer sciencedata manipulationXMLAnalyticalPharmaClinical trialsISSOncology,1 Day Ago,24-11-2024,Not disclosed
"Full Stack Developer, eCommerce",Prayag Health,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,GraphicsLinuxNetworkingCodingMySQLDebuggingJavascriptPHP,30+ Days Ago,24-11-2024,Not disclosed
National Account Manager - MT - Mumbai,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",12-20 Yrs,Relationship managementTradeNetworkingNutritionCSDBusiness planningLogistics managementFMCG,2 Days Ago,24-11-2024,Not disclosed
Key Account Manager (pharmaceutical company),pharmaceutical company,"Mumbai, New Delhi, Bengaluru",3-8 Yrs,Diagnostic SalesMedical DevicesMedical Equipmentpharmaceutical salesPharma MarketingPharma SellingHealthcare SalesDiagnostics,1 Day Ago,24-11-2024,5-8 Lacs PA
Area Sales Manager,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,People developmentNetworkingNutritionTrade salesTalent acquisitionChannel salesFMCGBusiness intelligence,1 Day Ago,24-11-2024,Not disclosed
HR Automation,Manipal Hospitals,Bengaluru,10-15 Yrs,data managementdata analyticsreport generationprocess optimizationdata integritytrainingteachingprofessional development,2 Days Ago,24-11-2024,Not disclosed
VRX Consultant,VISION RX LAB,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-5 Yrs,Product trainingProduction managementSalesProductionPresalesCustomer serviceSales trainingManagement,30+ Days Ago,24-11-2024,Not disclosed
Manager Invested Stores,Abbott,Mumbai,2-4 Yrs,Vendor ManagerNutritionVisual MerchandisingShop floorTrade marketingCost managementBudgetingForecasting,1 Day Ago,24-11-2024,Not disclosed
Territory Business Manager- Multitherapy,Abbott,Mumbai,1-14 Yrs,PharmaFinancePackagingMarket researchOperationsSalesforceManagementPharmaceutical,1 Day Ago,24-11-2024,Not disclosed
Territory Business Manager- Infinia - Bhavnagar,Abbott,Mumbai,1-14 Yrs,PharmaFinancePackagingMarket researchOperationsSalesforceManagementPharmaceutical,2 Days Ago,24-11-2024,Not disclosed
Business Executive,Merck,Mumbai,1-3 Yrs,SalesPharmaProduct portfolioqueryHealthcareBusiness ExecutivePortfolioPharmaceutical,1 Day Ago,24-11-2024,Not disclosed
Business Executive,Merck,"Mumbai, Navi Mumbai",1-3 Yrs,SalesPharmaProduct portfolioqueryHealthcareBusiness ExecutivePortfolioPharmaceutical,2 Days Ago,24-11-2024,Not disclosed
Certified Experience Medical Coder,IKS HEALTH,"Hyderabad, Navi Mumbai",1-6 Yrs,Medical CodingE/MSDSENMICDMedical CoderAnatomyGeneral Surgery,2 Days Ago,24-11-2024,Not disclosed
Hiring||Executive/Sr Executive -HR- Mumbai,Dr Lal PathLabs,Mumbai,3-4 Yrs,Sourcing ProfilesEnd To End RecruitmentRecruitmentTalent AcquisitionOffer GenerationSales HiringVolume HiringMIS Updation,2 Days Ago,24-11-2024,Not disclosed
HR Executive For Biotech Company in Navi Mumbai,Randstad India Pvt Ltd,Navi Mumbai,2-4 Yrs,Job PortalsCommunication Skills Writtencreative thinkingMS OfficeStakeholder ManagementOnedriveTeamplayerJob Diva,2 Days Ago,24-11-2024,4-4.25 Lacs PA
Marketing Coordinator,MOC CANCER CARE & RESEARCH CENTRE,"Mumbai(Andheri East), Mumbai Suburban, Mumbai (All Areas)",3-8 Yrs,Communication SkillsLead GenerationInbound Callspatient coordinationOutbound CallingFixing AppointmentsCold CallingAppointment Generation,1 Day Ago,24-11-2024,2-3 Lacs PA
Senior Nutrition Sales Executive - Hyderabad,Abbott,Mumbai,5-12 Yrs,customer segmentationConsultative salesNutritionPatient careAccount managementCustomer engagementNutrition Sales ExecutiveBrand building,1 Day Ago,24-11-2024,Not disclosed
Scientific Officer,Srl Dr Avinash Phadke Labs,Mumbai,0-4 Yrs,DiagnosticsManagement systemsInformation managementManager Quality ControlMolecular biologyPCRInventoryTesting,4 Days Ago,24-11-2024,Not disclosed
Senior Sales Force Effectiveness,Dermis Oracle Pvt Ltd,Mumbai,6-10 Yrs,SfeKPI MonitoringCLMSales EffectivenessSales Force AutomationCrm Implementationcommercial excellenceSalesforce CRM,1 Day Ago,24-11-2024,15-18 Lacs PA
Pharmacovigilance Associate I,Watson Pharama,Bengaluru,3-4 Yrs,Selection processPharmacovigilance AssociateManager Quality AssurancePharmaPharmacyHealthcareLife sciencesPharmacovigilance,4 Days Ago,24-11-2024,Not disclosed
Senior manager ER & Statutory Compliance,Watson Pharama,Bengaluru,6-10 Yrs,Performance managementComplianceConflict resolutionPharmaStatutory complianceLabourManagementPerformance improvement,3 Days Ago,24-11-2024,Not disclosed
Accounts Receivable - Collection Experience - On field - Contractual,A client of Randstad,"Noida, Pune, Mumbai (All Areas)(Powai)",1-2 Yrs,Acounts Receivable callerAccounts ReceivableAccountingContractsCollectionsFieldCallingReceivable,4 Days Ago,24-11-2024,2.5-3.5 Lacs PA
Scientific Business Manager - Oncology,Cipla,"Pune, Jaipur, Mumbai (All Areas)",3-8 Yrs,SalesOncologyBusiness DevelopmentPharmaceutical SalesPharmaceuticalDevelopmentManagementScience,4 Days Ago,24-11-2024,Not disclosed
Senior Statistical Programmer,AstraZeneca India Pvt. Ltd,Bengaluru,3-8 Yrs,CROAutomationProject managementXMLSocial mediaClinical trialsHealthcareLife sciences,3 Days Ago,24-11-2024,Not disclosed
Statistical Programmer,AstraZeneca India Pvt. Ltd,Bengaluru,3-5 Yrs,AutomationXMLSocial mediaPharmaClinical trialsHealthcareLife sciencesSAS Programming,3 Days Ago,24-11-2024,Not disclosed
"Sr. Resident, Joint Replacement Centre",Sir Ganga Ram Hospital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,opdemergency medicinecritical careorthopedicsmedicinenursinggeneral medicinehealthcare,1 Day Ago,24-11-2024,Not disclosed
Territory Business Manager | Osvita | Thrissur,Abbott,Bengaluru,1-14 Yrs,TrainingBrand AmbassadorPharmaAnalyticalRelationship buildingSupervisionSalesforcePharmaceutical,5 Days Ago,24-11-2024,Not disclosed
Trainee Territory Sales Executive - Nutrition,Abbott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,RetailPayrollStock replenishmentNutritionComplianceTerritory Sales ExecutiveFMCGMerchandising,30+ Days Ago,24-11-2024,Not disclosed
Senior Officer - Packing,Cipla,Rangpo,6-9 Yrs,AnalystSAPAnalyticalSocial networkingPackagingJunior OperatorPacking OperatorAdvertising,5 Days Ago,24-11-2024,Not disclosed
Sales Representative I - EMID,Medtronic,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-2 Yrs,Direct salesMarket developmentSales strategySalesSales RepresentativeManager TechnologyHealthcareMarket research,30+ Days Ago,24-11-2024,Not disclosed
Category Intelligence,Novo Nordisk,Bengaluru,6-8 Yrs,ProcurementBusiness servicesFinancial planningMarket intelligenceStrategic sourcingpower biMarket researchSpend analysis,5 Days Ago,24-11-2024,Not disclosed
Business Development Manager,The Orange Health,Gurugram,1-5 Yrs,SalesDiagnosticsBankingHealthcareSales processDoctorBusiness developmentDevelopment,2 Days Ago,24-11-2024,Not disclosed
Business Development Manager,Orange Healthcare,Gurugram,1-5 Yrs,SalesDiagnosticsBankingHealthcareSales processDoctorManagementBusiness development management,2 Days Ago,24-11-2024,Not disclosed
IT Validation,Novo Nordisk,Bengaluru,10-20 Yrs,Business servicesSystem managementSecurity managementInfrastructure managementProject managementPharmaHealthcareSubject Matter Expert,5 Days Ago,24-11-2024,Not disclosed
Resident/Senior Resident-Emergency Medicine,Fortis,Bengaluru(Nagarbhavi),0-5 Yrs,Emergency MedicineMEMDNBFellow ActivitiesMedicineEmergencySenior,14 Days Ago,24-11-2024,10-12 Lacs PA
Software Engineer II,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,cssconfluenceweb applicationunit testingbitbucketjqueryreact.jsapache,3 Days Ago,24-11-2024,Not disclosed
REGISTRAR - ORTHOPAEDICS,Wockhardt Hospitals,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,opdprotoolsemergency medicinecustomer servicecritical caresound editingmedicinenursing,30+ Days Ago,24-11-2024,Not disclosed
Lead Engineer Mechanical Component,GE India Ltd,Bengaluru,4-8 Yrs,engineleadershipdesignpresentation skillscreativitycommunication skillsComponentsMechanical engineering,5 Days Ago,24-11-2024,Not disclosed
Apprentice Production,Mankind Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,quality controlproductionbusiness developmentsalesproduction managementmarketingmanpower handlingoperations,10 Days Ago,24-11-2024,Not disclosed
Apprentice Production,Mankind Pharma,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,project managementstrategic thinkingteam managementproductionproblem analysisleadershipleadership skillsmanufacturing,11 Days Ago,24-11-2024,Not disclosed
DNB /DM - Cardiology(Fresher),Narayana Health (NH),"Mysuru, Bangalore/Bengaluru",0-5 Yrs,CardiologistDNB CardiologyInterventional CardiologyDM CardiologycardiologyDNBDm,15 Days Ago,24-11-2024,25-40 Lacs PA
Senior Clinical Data Manager,Cytel Statistical Software &amp;amp;amp; Services Pvt. Ltd.,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,Statistical programmingCROData managementClinical trialsContinuous improvementForecastingOperationsInformation technology,3 Days Ago,24-11-2024,Not disclosed
Territory Business Manager,Iberia Pharmaceuticals,"Hyderabad, Pune, Mumbai (All Areas)",2-5 Yrs,DermatologydermaCosmetologyTerritory managementManagementTerritory,1 Day Ago,24-11-2024,Not disclosed
Sales Executive,VISION RX LAB,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,TrainingService levelSalesSales HRRegional salesManager Quality ControlSales ExecutiveSales training,30+ Days Ago,24-11-2024,Not disclosed
Operator Trainee - 6,Kimberly-Clark Corporation,Pune,0-2 Yrs,KaizenLean manufacturingQuality systemsShop floorMISPackagingGMPTroubleshooting,4 Days Ago,24-11-2024,Not disclosed
Clinical Documentation/Clinical Verification(Order Process Specialist),Medtronic,Pune,5-9 Yrs,Medical DocumentationUS HealthcareDocument VerificationMedical TranscriptionClinical Data DocumentationMedical RecordsMedical ScribeMedical Record Review,2 Days Ago,24-11-2024,Not disclosed
Homecare RMO,MOC CANCER CARE & RESEARCH CENTRE,"Pune(Pimpri Colony +1), Mumbai (All Areas)(Thane West)",3-8 Yrs,Palliative CareRmo,8 Days Ago,24-11-2024,3-4.5 Lacs PA
Medical Record Executive,Life Sciences IT Consulting Hiring,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)",0-5 Yrs,PharmaceuticalLife SciencesHealthcarepharmaBiotechnologyMicrobiologyClinical OperationsMedical Records,2 Days Ago,24-11-2024,Not disclosed
Senior Nutrition Sales Executive - Raipur,Abbott,Mumbai,5-12 Yrs,customer segmentationConsultative salesNutritionPatient careAccount managementCustomer engagementNutrition Sales ExecutiveBrand building,3 Days Ago,24-11-2024,Not disclosed
Digital Marketing Manager (From Pharma Company),Dermis Oracle Pvt Ltd,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",8-10 Yrs,Marketing StrategyDigital MarketingBrand MarketingBrand ManagementMarketing ManagementDigital StrategyMarketing Communication PlanningMarketing Communication,3 Days Ago,24-11-2024,15-16 Lacs PA
Analytical Researcher II,Watson Pharama,Mumbai,6-9 Yrs,Analytical chemistrySelection processEHSCompliancePharmaQuality systemsReconciliationGLP,3 Days Ago,24-11-2024,Not disclosed
Product Manager,Meril,"Bengaluru, Delhi / NCR, Mumbai (All Areas)",10-18 Yrs,Sales StrategyMarketing StrategySales And MarketingMarketing CampaignsProduct LaunchLaunchSalesMarketing,6 Days Ago,24-11-2024,6-8 Lacs PA
Staff Nurse,MOC CANCER CARE & RESEARCH CENTRE,"Pimpri-Chinchwad, Pune(Kalyani Nagar +1)",4-9 Yrs,OncologyChemotherapyCritical CareICU,1 Day Ago,24-11-2024,3-4.5 Lacs PA
Senior Manager - Learning and Development,Dermis Oracle Pvt Ltd,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",8-12 Yrs,Learning And DevelopmentTraining Need AnalysisProcess TrainingTraining And DevelopmentSoft Skills TrainingCorporate TrainingTraining ManagementSales Training,3 Days Ago,24-11-2024,10-15 Lacs PA
Human Resource- Training and Development,Wockhardt Hospitals,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",3-8 Yrs,Training And DevelopmentTraining Need AnalysisLearning And DevelopmentTraining DeliveryDevelopmentNeed analysisDevelopmentDelivery,5 Days Ago,24-11-2024,Not disclosed
Resident Medical Officer,Wockhardt Hospitals,"Mumbai Suburban, Mumbai (All Areas)",0-5 Yrs,RmoicuMedical,14 Days Ago,24-11-2024,Not disclosed
General Manager - CMD Service,Thermo Fisher Scientific,Mumbai,12-15 Yrs,qualitative analysisservice operationsTechnical service managementquantitative analysiscustomer supportAnalysisOperationsGeneral management,1 Day Ago,24-11-2024,Not disclosed
BHMS/BAMS Doctors - Raipur/Juhu and Indore,Randstad,"Mumbai, Indore, Raipur",3-6 Yrs,Doctor ActivitiesBac,3 Days Ago,24-11-2024,4-9 Lacs PA
Territory Manager,Dr Reddys Path Labs,"Baramati, Pune",5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,2 Days Ago,24-11-2024,Not disclosed
Financial Analyst II,Thermo Fisher Scientific,Mumbai,4-5 Yrs,ERP systemfinancial analysisworking capital managementchartered accountantcustomer service orientationforecastingfinancial reportinghyperion planning,1 Day Ago,24-11-2024,Not disclosed
Key Accounts Manager,AstraZeneca India Pvt. Ltd,Mumbai,6-18 Yrs,Analytical skillsCustomer managementSalesBusiness leadershipSocial mediaPharmaOncologyHealthcare,3 Days Ago,24-11-2024,Not disclosed
Enterprise DevOps Engineer (LSMV/LSRA Config Expert),Hoffmann-La Roche,Pune,3-7 Yrs,IT servicesBackendRegulatory reportingAnalyticalproduct life cycleHealthcareCustomer servicePharmacovigilance,2 Days Ago,24-11-2024,Not disclosed
Executive / Senior Executive - Patient Relations,P D Hinduja Hospital and Medical Research Centre (HNH),Mumbai(Khar West),1-5 Yrs,Patient CareCommunication SkillsPatient CounsellingGuest RelationsPatient RelationsMISPatient SafetyCustomer Care,6 Days Ago,24-11-2024,2.5-4 Lacs PA
Tpa Coordinator,MOC Cancer Care & Research Centre,"Mumbai(Ghatkopar West), Mumbai (All Areas)",2-7 Yrs,TPACGHSMediclaimGIPSACashless ClaimsMedicalClaims,3 Days Ago,24-11-2024,3-4.5 Lacs PA
Pharmacist and Counter salesman,Star Medical And General Stores,Mumbai,0-1 Yrs,Counter SalesSalesPharmacy,6 Days Ago,24-11-2024,2.16-2.64 Lacs PA
Business Executive,Merck,"Mumbai, Navi Mumbai",1-3 Yrs,BasicSalesPharmaPharmacyProduct portfolioqueryHealthcareBusiness Executive,4 Days Ago,24-11-2024,Not disclosed
Business Executive (Location: Pan India) 2,Merck,Mumbai,1-3 Yrs,SalesPharmaProduct portfolioqueryHealthcareBusiness ExecutivePortfolioPan,5 Days Ago,24-11-2024,Not disclosed
"Territory Sales Executive/Manager- Mumbai (Vashi, Mumbai",Dr Lal PathLabs,"Mumbai, Thane, Navi Mumbai",1-4 Yrs,SalesBTL CampsFranchisee Managementdiagnostic salesdoctor callsdoctor visitBtl Marketingdoctor camps,5 Days Ago,24-11-2024,3-4.25 Lacs PA
Marketing Officer DTC,Wockhardt Hospitals,Mumbai Suburban,1-5 Yrs,Direct MarketingB2B Marketingdirect customer marketingCampaignsDirectB2BCustomer MarketingMarketing,5 Days Ago,24-11-2024,Not disclosed
Field Clinical Coordinator- Maharashtra,2coms,Mumbai,1-6 Yrs,field coordinationteam managementmrproductioncustomer servicengossnursingplant operations,3 Days Ago,24-11-2024,2-3 Lacs PA
Senior Executive - Patents,Abbott,Mumbai,3-5 Yrs,General CounselAdministrationDue diligencePharmaPatent draftingIntellectual propertyLicensingmicrosoft,5 Days Ago,24-11-2024,Not disclosed
Medical Engineer,Thyrocare,"Mumbai Suburban, Thane, Navi Mumbai",1-3 Yrs,Biomedical EngineeringHealth Care ServicesInstrumentsMedical DevicesLab InstrumentsMedical InstrumentsMedical EquipmentDevices,3 Days Ago,24-11-2024,Not disclosed
Area Business Manager-Victora,Abbott,Mumbai,5-10 Yrs,Direct salesSupply chainPharmaCustomer serviceBusiness strategyPharmacovigilanceManagementMS Office,4 Days Ago,24-11-2024,Not disclosed
Assistant Manager - Patents,Abbott,Mumbai,5-8 Yrs,General CounselOrganic chemistryPharmaPatent draftingIntellectual propertySupport servicesMonitoringPatent search,5 Days Ago,24-11-2024,Not disclosed
Assistant Manager - Learning and Development (From Pharma Company),Dermis Oracle Pvt Ltd,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",4-7 Yrs,Learning And DevelopmentTraining Need AnalysisProcess TrainingTraining And DevelopmentSoft Skills TrainingLeadership TrainingLearning ManagementTraining Management,3 Days Ago,24-11-2024,10-12 Lacs PA
Country Brand Manager (CNS),Pfizer,Mumbai,6-14 Yrs,NeurologyBrand managementsparkPharmaFinanceHealthcareMarket researchdigital strategy,5 Days Ago,24-11-2024,Not disclosed
Hospital Business Manager - Virology,Cipla,"Kolkata, Mumbai (All Areas)",4-8 Yrs,HIVPharmaceutical SalesPharma MarketingHospitalSalesPharmaceuticalMarketingManagement,4 Days Ago,24-11-2024,Not disclosed
Associate Faculty - Radiology,Tech Mahindra SMART Academy,Mumbai,3-4 Yrs,TrainingCounsellorInterpersonal skillsBlog writingAssociate FacultyRadiologyHealthcareMentor,5 Days Ago,24-11-2024,Not disclosed
Territory Manager,Dr Reddys Path Labs,Mumbai,5-6 Yrs,Product managementProduct launchExpense managementAnalyticalConsultingGeneticsCMEMarketing strategy,4 Days Ago,24-11-2024,Not disclosed
Scientific Business Manager : Immunology,Cipla,"Kolkata, Delhi / NCR, Mumbai (All Areas)",3-8 Yrs,pharmaceutical salesdermatologyImmunologyrheumatologyPulmonologyGastroenterologyOrthodontologySales,4 Days Ago,24-11-2024,Not disclosed
Associate Faculty - ECA,Tech Mahindra SMART Academy,Mumbai,3-8 Yrs,TrainingCounsellorInterpersonal skillsNursingConsultingMentorICUHoD,5 Days Ago,24-11-2024,Not disclosed
"Manager, Statistical Data Sciences Lead",Pfizer,Mumbai,7-10 Yrs,project managementsaswritingstatistical programmingclinical datacommunication skillsScienceProgramming,5 Days Ago,24-11-2024,Not disclosed
QC Chemist / Formulation /API/ B.pharmacy / M.pharmacy /M.sc Chemistry,J J Consultants,"Kochi/Cochin, Visakhapatnam, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",0-5 Yrs,Wet AnalysisQuality ControlQualityQCChemistryAPIAnalysisFormulation,1 Day Ago,24-11-2024,5-13 Lacs PA
Quality Assurance - Q.a/urgent Requirement /API /formulation/freshers,J J Consultants,"Kochi/Cochin, Visakhapatnam, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",0-4 Yrs,Take internal audits.Prepare & review SOP of QA & Other DeptQuality assuranceRequirementsQualityReviewInternal auditAssurance,1 Day Ago,24-11-2024,4.5-8.5 Lacs PA
Ayurvedic Doctor,Health Total,Mumbai,4-6 Yrs,nutraceuticalsAyurvedic DoctorqueryConsultingFounder DirectorWellnessMentorDoctor,30+ Days Ago,24-11-2024,Not disclosed
Walk In Interview For OPD - Front Desk at Fortis Hospital Kalyan,Fortis,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",25 Nov - 04 Dec,bpoFront Officecustomer carereceptionistOPDFront Deskout patientReception,14 Days Ago,24-11-2024,Not disclosed
JUNIOR PHARMACIST,Aditya Pharmacy,"Vijayawada, Hyderabad, Chennai, Bengaluru",0-2 Yrs,MedicineHealthDispensingHealthcarePharmacistPharmacy,30+ Days Ago,24-11-2024,Not disclosed
PHARMACY CASHIER,Aditya Pharmacy,"Vijayawada, Hyderabad, Chennai, Bengaluru",0-2 Yrs,Customer ServiceCashierPharmacyCashier activities,30+ Days Ago,24-11-2024,Not disclosed
Speech Therapist,Kokilaben Dhirubhai Ambani Hospital,Mumbai Suburban,0-3 Yrs,MASLPBASLPSpeech TherapySpeech,12 Days Ago,24-11-2024,Not disclosed
Territory Sales Manager,Metropolis Healthcare,Hybrid - Mumbai Suburban,0-2 Yrs,Communication SkillsTeam BuildingConvincing PowerStrong Interpersonal SkillsLeadership SkillsTerritory sales managementSalesTeam,11 Days Ago,24-11-2024,4-4.5 Lacs PA
Staff Nurse- Max Healthcare (Max@Home) - Mumbai,Max Healthcare,"Mumbai, Mumbai (All Areas)",0-5 Yrs,B.ScNursingCCNAnmCcuGNMICUHealthcare,10 Days Ago,24-11-2024,Not disclosed
Software Test Engineer III,Abbott,Mumbai,2-6 Yrs,IT servicesManagementIndividual ContributorCRMTestingIIISoftwareSoftware testing,7 Days Ago,24-11-2024,Not disclosed
Senior House Officer,Narayana Hrudayalaya Private Limited,Bengaluru,0-2 Yrs,medicalemergency medicineotclinical cardiologygastrocritical careorthoorthopedics,1 Day Ago,24-11-2024,Not disclosed
Team Lead Medical Affairs,Cipla,Mumbai,0-4 Yrs,Md PharmacologyTeamMedicalPharmacologyMDTMedical affairs,11 Days Ago,24-11-2024,Not disclosed
Accountant Receivable - ON Contract Basis For 6 Months,A client of Randstad India,Mumbai(Powai),1-2 Yrs,Good English CommunicationExcelAccountingContractsCommunication skillsEnglishReceivableAccounts receivable,4 Days Ago,24-11-2024,3-3.5 Lacs PA
Business Development Manager,The Orange Health,Mumbai,1-4 Yrs,SalesDiagnosticsBankingHealthcareSales processMedical insuranceDoctorManagement,30+ Days Ago,24-11-2024,Not disclosed
Radiologist,Aashvi Infotech,"Noida, Meerut, Bengaluru",1-6 Yrs,MDMRIUSGradiologistColour DopplerRadiographyCTRadio Diagnosis,11 Days Ago,24-11-2024,20-25 Lacs PA
Executive/Sr Executive/Area Sales Manager,Titan Biotech,"Ahmedabad, Delhi / NCR, Mumbai (All Areas)",2-7 Yrs,Industrial Salespharma industrymicrobiological productsBiotechnologylab chemicalsMicrobiologyKey AccountsInstitutional Sales,1 Day Ago,24-11-2024,Not disclosed
Zonal Business Manager - Market Access/Institutional sales,Cipla,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",15-20 Yrs,Tender BusinessMarket AccessKey Account ManagementInstitutional SalesPharmaceutical SalesSalesMarketingManagement,4 Days Ago,24-11-2024,Not disclosed
Medical Representative,Randstad India Pvt Ltd,Mumbai(Andheri East +3),0-3 Yrs,Medical RepPharma SellingHealthcare SalesMedical SalesMedical MarketingHospital Salesmedical representativePharma Marketing,15 Days Ago,24-11-2024,2.5-3 Lacs PA
Zonal Sales Manager- Institutional Business,Cipla,"Mumbai, Mumbai Suburban, Navi Mumbai",10-15 Yrs,Tender BusinessMarket AccessKey Account ManagementInstitutional SalesPharmaceutical SalesAccountingManagementTendering,4 Days Ago,24-11-2024,Not disclosed
Cloud SW Engineer III,Abbott,Mumbai,4-6 Yrs,IT servicesCloudManagementIndividual ContributorCRMTestingSoftware testingIII,7 Days Ago,24-11-2024,Not disclosed
International Sales & Documentation - Medical Equipment's,BPL,Bengaluru,2-4 Yrs,Export DocumentationInternational SalesExport SalesMedical EquipmentSalesDocumentationExportMedical,3 Days Ago,24-11-2024,Not disclosed
Senior Associate I Procurement,Novo Nordisk,Bengaluru,4-6 Yrs,ProcurementSupply chainBusiness processProject managementHealthcareMS OfficeContinuous improvementOperations,9 Days Ago,24-11-2024,Not disclosed
