roles,companies,locations,experience,skills,Dates,PresentDate,salary
Unit Manager - Rural Consumer Durable,Bajaj Finserv Ltd.,Pune,7-8 Yrs,Market analysisCareer developmentProject managementAnalyticalStrategic planningProduct designCustomer serviceCustomer experience,25 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - Business Compliance Unit,Bajaj Finserv Ltd.,Pune,4-6 Yrs,Market analysisMarketing analyticsProject managementAnalyticalStrategic planningProduct designCustomer serviceCustomer experience,25 Days Ago,23-11-2024,Not disclosed
Deputy Manager - Payments - Ops & Service,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Change managementManager Internal AuditTeam managementComplianceTime managementInvestigationCustomer serviceOutsourcing,25 Days Ago,23-11-2024,Not disclosed
System Analyst - Payments - Technology,Bajaj Finserv Ltd.,Pune,8-12 Yrs,Automation testingTest scriptsTest strategyAutomation toolsTechnology LeadTest planningSeleniumTest cases,25 Days Ago,23-11-2024,Not disclosed
"Associate, Compliance & Control II",BNY,Pune,0-3 Yrs,ComplianceFinancial servicesSupervisionAuditingFinanceControl,30+ Days Ago,23-11-2024,Not disclosed
Managed Services Employee Vetting & Background checks Analyst,KPMG India,Pune,1-3 Yrs,SIDEAnalystMS SQLManaged servicesVBAProgrammingMicrosoftAnalysis,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Marketplace/Senior Unit Manager - Marketplace,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Product managementChange managementBusiness analysisProject managementTest casesAdobeInformation technologySDLC,26 Days Ago,23-11-2024,Not disclosed
Manager - Digital Platforms,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Content strategyLoansGoogle AnalyticsAdobe Premiere ProProject managementVideo editingAdobe After EffectsSEO,26 Days Ago,23-11-2024,Not disclosed
Deputy Area Manager,Bajaj Finserv Ltd.,Pune,3-5 Yrs,TrainingPeople management skillsFocusRelationshipLegalManagementDebt managementCost,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager,Bajaj Finserv Ltd.,Pune,4-6 Yrs,Graphic designingFront endInteraction designManager TechnologyWorkflowAgile methodologyAdobePrincipal,30+ Days Ago,23-11-2024,Not disclosed
National Lead - Rural COE - B2C,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Graphic designingFront endInteraction designManager TechnologyWorkflowAgile methodologyAdobePrincipal,30+ Days Ago,23-11-2024,Not disclosed
Lead - Rural Consumer Durable/Senior Lead,Bajaj Finserv Ltd.,Pune,6-14 Yrs,Market analysisCareer developmentProject managementAnalyticalStrategic planningProduct designCustomer serviceCustomer experience,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager,Bajaj Finserv Ltd.,Pune,7-8 Yrs,Market analysisCareer developmentProject managementAnalyticalStrategic planningProduct designCustomer serviceCustomer experience,30+ Days Ago,23-11-2024,Not disclosed
Assistant Manager - Microfinance,Bajaj Finserv Ltd.,"Nashik, Pune",1-2 Yrs,LoansComplianceProcess planningMicrofinanceFinanceReconciliationRelationshipMonitoring,30+ Days Ago,23-11-2024,Not disclosed
Deputy Area Manager - Payments - QR,Bajaj Finserv Ltd.,Pune,1-4 Yrs,Distribution developmentTelecomDistribution managementInterpersonal skillsTeam managementBusiness reportingMISConsumer durables,30+ Days Ago,23-11-2024,Not disclosed
MERN Stack Developer,Bharti Share Market,Pune,2-3 Yrs,DOMWeb technologiesJavascriptESICJSONMongoDBStackDevelopment,30+ Days Ago,23-11-2024,Not disclosed
"Intermediate Representative, Client Processing",BNY,Pune,0-2 Yrs,BloombergDiversity and InclusionFinanceReconciliationCorporateRepresentativeClient relationshipAsset management,30+ Days Ago,23-11-2024,Not disclosed
"Associate, Financial Planning & Analysis II",BNY,Pune,0-3 Yrs,BasicFinancial reportingAccountingFinancial analyticsFinancial planningTrend analysisCorporateRepresentative,30+ Days Ago,23-11-2024,Not disclosed
Territory Manager | Banca | Life Insurance -Pune!,Lavya Associates,Pune,5-10 Yrs,Life InsuranceBFSIBancassuranceteam handlingChannel Managementbank branchessalesbanking,30+ Days Ago,23-11-2024,Not disclosed
Junior Engineer - Tool & Fixtures,GE India Ltd,Pune,2-4 Yrs,FabricationAerospaceSheet metalAnalyticalPoka YokeAgileLaser cuttingTool design,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Compliance/Senior Unit Manager,Bajaj Finserv Ltd.,Pune,4-5 Yrs,project managementoperations managementcsssoftware developmentsoftware testinguatbusiness analysisauditing,30+ Days Ago,23-11-2024,Not disclosed
Salesforce Tech Lead,Synechron,Pune,6-11 Yrs,Computer scienceProject developmentTeam managementProject managementAnalyticalMySQLOracleInformation technology,30+ Days Ago,23-11-2024,Not disclosed
Associate - Control II,BNY,Pune,0-3 Yrs,Operational riskcontrol testingResearchRisk managementInternshipControlSoftware testingRisk,30+ Days Ago,23-11-2024,Not disclosed
Digital Trust Cyber Defense Senior,KPMG India,Pune,2-3 Yrs,UnixTelecomLinuxTesting toolsXMLMySQLWindowsOracle,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Payments,Bajaj Finserv Ltd.,Pune,3-4 Yrs,ReworkFront endDigital designCorporateManagementResearchVendorProject delivery,30+ Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - SME Collections,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Product managementFinanceBankingManager TechnologyManagementStakeholder managementSQLCollections,30+ Days Ago,23-11-2024,Not disclosed
Assistant Manager - Operations and Service,Bajaj Finserv Ltd.,Pune,3-4 Yrs,Relationship managementChange managementTeam managementPublishingMISAnalyticalBack officeMonitoring,30+ Days Ago,23-11-2024,Not disclosed
"Associate, Corporate Actions I",BNY,Pune,0-3 Yrs,Corporate actionsBloombergFinanceManager Quality ControlManagementFinancial servicesMonitoringCorporate,30+ Days Ago,23-11-2024,Not disclosed
Regional Manager - SME Collections,Bajaj Finserv Ltd.,Pune,6-8 Yrs,MatrixPeople management skillsLegalManagementDebt managementCostMonitoringRecruitment,30+ Days Ago,23-11-2024,Not disclosed
Lead - Payments,Bajaj Finserv Ltd.,Pune,5-7 Yrs,Google AnalyticsTesting toolsCustomer experienceStrategy developmentProduct conceptualizationUsability testingInformation architectureProduct strategy,30+ Days Ago,23-11-2024,Not disclosed
Deputy Manager - SME MICRO BLSE,Bajaj Finserv Ltd.,Pune,1-2 Yrs,Analytical skillsPMPEmployee developmentOperational riskCustomer serviceSales trainingFinancial servicesCorporate sales,30+ Days Ago,23-11-2024,Not disclosed
Deputy Area Manager - SME MICRO BLSE,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Analytical skillsPMPEmployee developmentOperational riskCustomer serviceSales trainingFinancial servicesCorporate sales,30+ Days Ago,23-11-2024,Not disclosed
Assistant Manager - BFS Direct,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Cash collectionMatrixComplianceCustomer satisfactionFinancequeryBankingCustomer service,30+ Days Ago,23-11-2024,Not disclosed
"Intermediate Representative, Fund Administration",BNY,Pune,0-3 Yrs,BloombergComplianceAccountingFinanceFocusCash allocationFund administrationRepresentative,29 Days Ago,23-11-2024,Not disclosed
"Intermediate Representative, Cash Processing/Funds Transfer",BNY,Pune,0-3 Yrs,BloombergComplianceAccountingFinanceFocusCash allocationFund administrationRepresentative,29 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - Underwriting,Bajaj Finserv Ltd.,Pune,3-5 Yrs,TrainingSFDCAgileMS OfficeManagementUNITMicrosoftOffice,29 Days Ago,23-11-2024,Not disclosed
Area Manager - Underwriting,Bajaj Finserv Ltd.,Pune,3-5 Yrs,Analytical skillsLoansProcess orientationComplianceNBFCMarket intelligenceCredit riskManagement,29 Days Ago,23-11-2024,Not disclosed
Area Manager - Business Loans,Bajaj Finserv Ltd.,Pune,2-4 Yrs,Sales HeadBusiness processLoansInterpersonal skillsTeam managementRisk analyticsUnderwritingRegional sales,29 Days Ago,23-11-2024,Not disclosed
Deputy Manager - Underwriting,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Analytical skillsLoansProcess orientationComplianceNBFCMarket intelligenceCredit riskManagement,29 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - SME COE,Bajaj Finserv Ltd.,Pune,4-5 Yrs,PublishingLMSdigital contentExcelData managementManagement systemsMISMS Office,29 Days Ago,23-11-2024,Not disclosed
Deputy Manager - SME COE,Bajaj Finserv Ltd.,Pune,1-3 Yrs,PublishingLMSdigital contentExcelData managementManagement systemsMISMS Office,29 Days Ago,23-11-2024,Not disclosed
Unit Manager - SME COE/Senior Unit Manager - SME COE,Bajaj Finserv Ltd.,Pune,4-5 Yrs,PublishingLMSdigital contentExcelData managementManagement systemsMISMS Office,29 Days Ago,23-11-2024,Not disclosed
Deputy Area Manager - Underwriting,Bajaj Finserv Ltd.,Pune,3-4 Yrs,Vendor auditQuery resolutionArchitectureLegalCivil engineeringUnderwritingEngineeringQuery,29 Days Ago,23-11-2024,Not disclosed
Executive - Debt Management Services - Consumer,Bajaj Finserv Ltd.,"Pune, Bhokar",2-3 Yrs,ExecutivePeople management skillsLegalDebt managementCostMonitoringManagement servicesPeople management,29 Days Ago,23-11-2024,Not disclosed
Deputy Manager - Operations and Service,Bajaj Finserv Ltd.,Pune,1-2 Yrs,Business loanLoan operationsQCMortgageFinanceDeputy Manager OperationsComputer proficiencyAuditing,29 Days Ago,23-11-2024,Not disclosed
Cluster Manager - Rewards/Senior Cluster Manager - Rewards,Bajaj Finserv Ltd.,Pune,5-8 Yrs,Promotional campaignsInterpersonal skillsProject managementAnalyticalCompliance managementManager Program ManagementMarket researchRisk management,29 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - Risk,Bajaj Finserv Ltd.,Pune,3-4 Yrs,Post productionLoansData analysisUnderwritingMISData processingRisk managementPowerpoint,29 Days Ago,23-11-2024,Not disclosed
National Lead - Risk,Bajaj Finserv Ltd.,Pune,6-7 Yrs,Customer acquisitionRoot cause analysisTeam managementLMSUnderwritingTeam developmentControl chartsCustomer quality,29 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - Corporate Social Responsibility,Bajaj Finserv Ltd.,Pune,1-2 Yrs,LMSExcelPenetrationData managementBfsiTPSManagement TraineeMS Office,29 Days Ago,23-11-2024,Not disclosed
Deputy Manager - Underwriting,Bajaj Finserv Ltd.,"Baramati, Pune",2-3 Yrs,Product launchLoansTicketingMatrixComplianceFinanceCredit appraisalBanking,29 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - Risk,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Analytical skillsLoansData analysisData managementFinancial sectorMISProject planningSQL,29 Days Ago,23-11-2024,Not disclosed
Unit Manager - Rural Term Loan/Senior Unit Manager - Rural Term Loan,Bajaj Finserv Ltd.,Pune,6-7 Yrs,Product launchData analysisData managementProject managementManager TechnologyProduct salesGap analysisPowerpoint,29 Days Ago,23-11-2024,Not disclosed
Assistant Manager - BFS Direct,Bajaj Finserv Ltd.,Pune,1-3 Yrs,Law enforcementMISLegalManagementMS OfficePTPCostrisk governance,29 Days Ago,23-11-2024,Not disclosed
Area Manager - Underwriting/Senior Area Manager - Underwriting,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Product launchLoansTicketingMatrixComplianceFinanceCredit appraisalBanking,29 Days Ago,23-11-2024,Not disclosed
Software Infrastructure Developer,MSCI Services,Pune,6-10 Yrs,kubernetescsssix sigmadataisopfmearesearchazure devops,29 Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - DDF Wheels,Bajaj Finserv Ltd.,Pune,4-5 Yrs,AutomationData analysisInterpersonal skillsData structurespower biManagementMS OfficePrincipal,30+ Days Ago,23-11-2024,Not disclosed
"Associate, Middle Office I",BNY,Pune,0-3 Yrs,ClaimsBloombergFinanceReconciliationPortfolio valuationCash managementFinancial servicesMonitoring,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Risk Containment Unit,Bajaj Finserv Ltd.,Pune,4-6 Yrs,Analytical skillsFraud controlSales StaffFront endLaw enforcementMISProcess improvementDeployment,30+ Days Ago,23-11-2024,Not disclosed
Cluster Manager - Risk/Senior Cluster Manager - Risk,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Logistic regressionRoot cause analysisData analysisStatistical modelingAnalyticalHypothesis TestingProduct salesIndividual Contributor,30+ Days Ago,23-11-2024,Not disclosed
"Senior Associate, Client Implementations",BNY,Pune,0-7 Yrs,Performance managementClient servicingProject managementResource allocationStandard operating proceduresRegulatory complianceTransitionScheduling,30+ Days Ago,23-11-2024,Not disclosed
Data Architect,Capco,Pune,8-13 Yrs,UMLData ArchitectAgileScrumSchedulingData qualityRisk managementVirtualization,30 Days Ago,23-11-2024,Not disclosed
"Associate Analyst, Legal Compliance",Mastercard,Pune,0-3 Yrs,remediationDue diligenceInterpersonal skillsAssociate AnalystLegal complianceInformation securitySubject matter expertiseOperations,30 Days Ago,23-11-2024,Not disclosed
"Lead - Risk,",Bajaj Finserv Ltd.,Pune,6-8 Yrs,Distribution managementCollateral managementFinancial analysisRisk assessmentRisk managementmortgage underwritingContinuous improvementPowerpoint,30+ Days Ago,23-11-2024,Not disclosed
Executive - Debt Management Services - SME,Bajaj Finserv Ltd.,Pune,2-3 Yrs,People management skillsSenior ExecutiveRelationshipLegalDebt managementCostMonitoringSenior,30+ Days Ago,23-11-2024,Not disclosed
Executive - Debt Management Services - SME,Bajaj Finserv Ltd.,"Pune, Sinnar",2-3 Yrs,People management skillsSenior ExecutiveRelationshipLegalDebt managementCostMonitoringSenior,30+ Days Ago,23-11-2024,Not disclosed
Relationship Manager - GL North West,Bajaj Finserv Ltd.,Pune,2-4 Yrs,LoansBasicDirect marketingAccountingGold loanCustomer relationshipCash managementMS Office,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Risk/Senior Unit Manager - Risk,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Data analysisData managementUnderwritingMISProject managementConsumer financeRisk managementPortfolio management,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager,Bajaj Finserv Ltd.,Pune,2-3 Yrs,BackendFront endGoogle AnalyticsPublishingProject managementMISWeb developmentDebugging,30+ Days Ago,23-11-2024,Not disclosed
Executive - Debt Management,Bajaj Finserv Ltd.,Pune,2-3 Yrs,People management skillsSenior ExecutiveRelationshipLegalDebt managementCostMonitoringManagement skills,30+ Days Ago,23-11-2024,Not disclosed
Cluster Manager,Bajaj Finserv Ltd.,Pune,8-9 Yrs,System architectureSenior managementVendor managementSales operationsStaffingTeam developmentIT skillsRFP,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Risk/Senior Unit Manager - Risk,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Distribution managementCollateral managementFinancial analysisRisk assessmentRisk managementmortgage underwritingContinuous improvementPowerpoint,30+ Days Ago,23-11-2024,Not disclosed
Cluster Manager - Management Accounting,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Management accountingremediationManager Internal AuditERPFinancial reportingBfsiConsultingoperational risk management,30+ Days Ago,23-11-2024,Not disclosed
Regional Manager - Used Car Finance,Bajaj Finserv Ltd.,Pune,5-7 Yrs,LoansPenetrationCredit operationsData managementOperational riskChannel salesSalesforce.comDatabase,30+ Days Ago,23-11-2024,Not disclosed
Cluster Manager,Bajaj Finserv Ltd.,Pune,5-7 Yrs,cluster managementarea sales managementoperations managementteam managementchannel salesteam handlingbusiness developmentretail sales,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Risk/Senior Unit Manager,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Distribution managementCollateral managementFinancial analysisRisk assessmentRisk managementmortgage underwritingContinuous improvementPowerpoint,30+ Days Ago,23-11-2024,Not disclosed
"Intermediate Representative, Client Processing",BNY,Pune,0-2 Yrs,Loansasset servicingBloombergDiversity and InclusionCorporateRepresentativeAsset managementOperations,30+ Days Ago,23-11-2024,Not disclosed
Manager - GL Common,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Analytical skillsSIDEBankingAnalyticsAnalyticalManagementGLAnalytical Skill,30+ Days Ago,23-11-2024,Not disclosed
Deputy Manager - Professional Loans,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Analytical skillsLoansPMPEmployee developmentInsurance salesOperational riskChannel managementSales training,30+ Days Ago,23-11-2024,Not disclosed
Lead - Legal/Senior Lead - Legal,Bajaj Finserv Ltd.,Pune,8-9 Yrs,Company SecretaryComplianceAnalyticalFinanceAudit planningBankingLegalLead,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Partner App/Senior Unit Manager - Partner App,Bajaj Finserv Ltd.,Pune,4-6 Yrs,Front endPrototypeNBFCWeb developmentScrumProject deliveryPowerpointStakeholder management,30+ Days Ago,23-11-2024,Not disclosed
TechOps Engineer - IT,Bajaj Finserv Ltd.,Pune,2-3 Yrs,System architectureDatabase designProject managementMySQLDisaster recoveryAgileOracleTroubleshooting,30+ Days Ago,23-11-2024,Not disclosed
Senior Manager - Microfinance/Senior Manager - Microfinance,Bajaj Finserv Ltd.,Pune,4-6 Yrs,Attrition managementPerformance managementTalent acquisitionNBFCMISResourcingService industryMS Office,30+ Days Ago,23-11-2024,Not disclosed
Manager - Digital Platforms,Bajaj Finserv Ltd.,Pune,3-5 Yrs,TelecomWeb servicesIVRProject managementIT infrastructureProgrammingTransitionPresales,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager - Payments - Technology,Bajaj Finserv Ltd.,Pune,6-12 Yrs,Project developmentspring bootGITIT skillsData structuresHTMLTest casesUnit testing,30+ Days Ago,23-11-2024,Not disclosed
"Associate, Client Service II",BNY,Pune,0-2 Yrs,LoansBloombergClient servicingFinanceCorporateRepresentativeOperationsFinancial services,30+ Days Ago,23-11-2024,Not disclosed
Relationship Manager - GL North West,Bajaj Finserv Ltd.,"Nagda, Pune",3-4 Yrs,LoansDirect marketingAccountingGold loanCustomer relationshipCash managementMS OfficeRelationship,30+ Days Ago,23-11-2024,Not disclosed
Branch Manager - GL North West,Bajaj Finserv Ltd.,"Nagda, Pune",4-6 Yrs,Employee trainingField marketingfinancial productsClient servicingBranch operationsGold loanManagementCustomer engagement,30+ Days Ago,23-11-2024,Not disclosed
UI Developer,Deutsche Bank,Pune,2-6 Yrs,MavenAutomationGITCodingAgileScrumJIRAFinancial services,30+ Days Ago,23-11-2024,Not disclosed
"Senior Associate, Data Management & Quantitative Analysis",BNY,Pune,0-2 Yrs,C++Data managementOperational riskBloombergrisk modelingAnalyticalMarket riskRisk management,30+ Days Ago,23-11-2024,Not disclosed
"Intermediate Representative, Cash Processing/Funds Transfer",BNY,Pune,0-3 Yrs,UsageOperations ManagerBusiness FinanceFinanceFocusRepresentativeHRAsset management,30+ Days Ago,23-11-2024,Not disclosed
DevOps Engineers,Synergy Tech Solutions,Pune,2-5 Yrs,devops,30+ Days Ago,23-11-2024,Not disclosed
UX developers (Angular),Synergy Tech Solutions,Pune,2-5 Yrs,QAdevopsDatabaseDBMSDevelopmentUI developmentQuality assuranceAngular,30+ Days Ago,23-11-2024,Not disclosed
Unit Manager,Bajaj Finserv Ltd.,Pune,5-6 Yrs,Root cause analysisTeam operationsFraud controlpower bifraud monitoringCustomer serviceCustomer experienceIT operations,30+ Days Ago,23-11-2024,Not disclosed
Cluster Manager - Payments,Bajaj Finserv Ltd.,Pune,5-6 Yrs,EMIAnalytical skillsLMSScrumCustomer serviceNew product developmentIT operationsMonitoring,30+ Days Ago,23-11-2024,Not disclosed
Regional Manager,Bajaj Finserv Ltd.,Pune,5-8 Yrs,Analytical skillsEmployee developmentSales planningTeam managementCustomer serviceFinancial servicesCorporate salesRecruitment,30+ Days Ago,23-11-2024,Not disclosed
Manager - Microfinance,Bajaj Finserv Ltd.,Pune,4-6 Yrs,AdministrationMatrixComplianceMicrofinanceManagementMonitoringSupervisionAuditing,30+ Days Ago,23-11-2024,Not disclosed
Cluster Manager - Finance & Accounts,Bajaj Finserv Ltd.,Pune,2-3 Yrs,Relationship managementSAP project managementIT project managementProduction supportTest strategyAnalyticalTest casesBusiness case,30+ Days Ago,23-11-2024,Not disclosed
Lead - Risk/Senior Lead - Risk,Bajaj Finserv Ltd.,Pune,6-14 Yrs,Post productionData analysisData managementMISAnalyticalBankingRisk managementStakeholder management,30+ Days Ago,23-11-2024,Not disclosed
Executive - Operations and Service,Bajaj Finserv Ltd.,Pune,1-3 Yrs,Data analysisCredit operationsBranch salesAudit reportConceptualizationGold loanConsumer durablesOperation Executive,30+ Days Ago,23-11-2024,Not disclosed
Senior Business Manager - Affordable Housing,Bajaj Finserv Ltd.,Pune,1-2 Yrs,Analytical skillsPMPEmployee developmentOperational riskCustomer serviceSales trainingFinancial servicesCorporate sales,30+ Days Ago,23-11-2024,Not disclosed
Senior Executive - Operations and Service,Bajaj Finserv Ltd.,Pune,3-4 Yrs,TrainingData analysisInterpersonal skillsSalesGold loanExecutive OperationsMarketing ExecutiveData entry,30+ Days Ago,23-11-2024,Not disclosed
Deputy Unit Manager - PL - Digital,Bajaj Finserv Ltd.,Pune,2-6 Yrs,Quality orientationAgency managementMarketing programsContent managementAnalyticaldigital campaignscontent marketingStakeholder management,30+ Days Ago,23-11-2024,Not disclosed
Manager - Used Car Finance,Bajaj Finserv Ltd.,Pune,2-3 Yrs,LoansPenetrationCredit operationsData managementOperational riskChannel salesSalesforce.comDatabase,30+ Days Ago,23-11-2024,Not disclosed
Manager - PL - Digital,Bajaj Finserv Ltd.,Pune,2-4 Yrs,Customer acquisitionCampaign planningFramework designCampaign managementStrategic partnershipsAgileCredit riskIT operations,30+ Days Ago,23-11-2024,Not disclosed
Lead - Insurance Business/Senior Lead - Insurance Business,Bajaj Finserv Ltd.,Pune,4-5 Yrs,Analytical skillsInterpersonal skillsCampaign managementCross functional coordinationConsumer durablesData analyticsDigital marketingMerchandising,30+ Days Ago,23-11-2024,Not disclosed
Senior Lead Software Architect/Senior Lead Software Architect,Bajaj Finserv Ltd.,Pune,5-8 Yrs,Analytical skillsAccess controlCisaLead SoftwareNBFCcontrol testingAgileSoftware Architect,30+ Days Ago,23-11-2024,Not disclosed
Area Manager - Underwriting,Bajaj Finserv Ltd.,Pune,3-4 Yrs,Product launchLoansTicketingMatrixComplianceFinanceCredit appraisalBanking,30+ Days Ago,23-11-2024,Not disclosed
Manager - Business Loans,Bajaj Finserv Ltd.,Pune,2-5 Yrs,LoansCredit operationsOperational riskComplianceFinanceUPSCustomer experienceCredit,30+ Days Ago,23-11-2024,Not disclosed
